economy,series,Country,Series,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,NY.GDP.MKTP.CD,Zimbabwe,GDP (current US$),19495547522.9895,19963058858.4528,20548759858.0924,51074726484.0037,34156057417.3285,25715657177.4682,26868564055.12,27240507841.6729,32789657377.9788,35231369343.4002
ZMB,NY.GDP.MKTP.CD,Zambia,GDP (current US$),27141023558.0829,21251216798.7762,20958412538.3093,25873601260.8353,26311507273.6735,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,27577956471.244
YEM,NY.GDP.MKTP.CD,"Yemen, Rep.",GDP (current US$),43228585321.3737,42444490073.7255,31317825274.1507,26842229044.5848,21606160663.0131,,,,,
PSE,NY.GDP.MKTP.CD,West Bank and Gaza,GDP (current US$),13989700000.0,13972400000.0,15405400000.0,16128000000.0,16276600000.0,17133500000.0,15531700000.0,18109000000.0,19165500000.0,17847900000.0
VIR,NY.GDP.MKTP.CD,Virgin Islands (U.S.),GDP (current US$),3565000000.0,3663000000.0,3798000000.0,3794000000.0,3923000000.0,4121000000.0,4229000000.0,4507000000.0,4672000000.0,
VNM,NY.GDP.MKTP.CD,Viet Nam,GDP (current US$),233451469642.519,239258328381.741,257096001177.982,281353605986.903,310106478394.659,334365270496.667,346615738537.796,366474752771.009,413445230668.578,433857681378.291
VEN,NY.GDP.MKTP.CD,"Venezuela, RB",GDP (current US$),482359318767.703,,,,,,,,,
VUT,NY.GDP.MKTP.CD,Vanuatu,GDP (current US$),773717010.546445,759690180.951654,804323576.861028,880043284.399407,914727908.137793,936526267.622513,909421043.508407,982362211.918412,1030654208.30053,1126313359.21923
UZB,NY.GDP.MKTP.CD,Uzbekistan,GDP (current US$),80845385809.4529,86196264755.3105,86138288644.171,69703222282.7278,58695899092.1083,67293639798.3996,66443265418.3086,77340060003.0347,90095926567.4359,102641879248.764
URY,NY.GDP.MKTP.CD,Uruguay,GDP (current US$),61496186973.902,57680327998.6689,57480787465.2716,65005997963.4822,65344577415.7535,62222313618.8454,53559359261.826,60739084240.8633,70594110920.0358,77991666837.7382
USA,NY.GDP.MKTP.CD,United States,GDP (current US$),17608138000000.0,18295019000000.0,18804913000000.0,19612102000000.0,20656516000000.0,21539982000000.0,21354105000000.0,23681171000000.0,26006893000000.0,27720709000000.0
GBR,NY.GDP.MKTP.CD,United Kingdom,GDP (current US$),3064708247921.43,2927911140916.73,2689106566899.61,2680148052335.3,2871340347581.79,2851407164907.81,2696778386607.65,3143323050707.26,3114042471144.39,3369861888972.88
ARE,NY.GDP.MKTP.CD,United Arab Emirates,GDP (current US$),414105366752.893,370275469571.137,369255326235.534,390516804029.952,427049432157.931,417989721742.682,349473015330.157,415178792756.978,502731935194.01,514130432648.06
UKR,NY.GDP.MKTP.CD,Ukraine,GDP (current US$),133503871861.723,91030967789.0717,93355869403.9223,112090505081.739,130891088293.55,153883047509.577,156617722013.342,199765859570.935,161989520721.19,181221517868.744
UGA,NY.GDP.MKTP.CD,Uganda,GDP (current US$),32612397257.4458,32387183730.1002,29203988696.2626,30744473841.424,32927025619.6795,35353061007.9635,37600368239.8824,40529788744.0595,45565333216.4142,48768955859.2834
TUV,NY.GDP.MKTP.CD,Tuvalu,GDP (current US$),38760982.6540096,36811936.0824587,41629064.2232388,45276595.3533146,48015259.8751356,54123198.5662913,51746594.3148543,60196405.7138393,59065982.0873657,62280311.5852172
TCA,NY.GDP.MKTP.CD,Turks and Caicos Islands,GDP (current US$),841700000.0,942070000.0,1032452000.0,1022365000.0,1314329000.0,1371838000.0,918387000.0,1236459000.0,1434119000.0,1638653000.0
TKM,NY.GDP.MKTP.CD,Turkmenistan,GDP (current US$),43524210526.3158,35799714285.7143,36169428571.4286,37926285714.2857,40765428571.4286,45232857142.8571,45818000000.0,50007428571.4286,58972000000.0,60628857142.8571
TUR,NY.GDP.MKTP.CD,Turkiye,GDP (current US$),938934609296.966,864313810469.009,869682881593.041,858988492853.742,778972108040.602,761005915750.925,720338490327.248,819865223976.115,907118434653.505,1118252958513.72
TUN,NY.GDP.MKTP.CD,Tunisia,GDP (current US$),50271812920.612,45779494041.9295,44360072680.4476,42163530590.9462,42686504459.801,41905642418.825,42491780918.361,47073234359.1819,44948769171.285,48196281783.9479
TTO,NY.GDP.MKTP.CD,Trinidad and Tobago,GDP (current US$),29474180442.0125,26841143094.6765,23624333663.6693,23847765529.2959,23888910151.9167,23588037786.7403,20991339706.5613,24177305760.2763,28510328245.1372,25489373405.0619
TON,NY.GDP.MKTP.CD,Tonga,GDP (current US$),440997734.928723,437525538.903019,420828254.541601,459976847.108128,489714529.780507,494197853.971842,496856303.949489,518228028.701685,518180029.413435,508735107.033734
TGO,NY.GDP.MKTP.CD,Togo,GDP (current US$),6393318261.82712,5755461035.38026,6071170959.12093,6387422517.69225,7029300383.08031,6992700101.37188,7400284167.78479,8342243645.94438,8169476148.95692,9171261837.57103
TLS,NY.GDP.MKTP.CD,Timor-Leste,GDP (current US$),1447535200.0,1590282400.0,1640464600.0,1584878400.0,1555988614.43594,2032550389.41316,2162619240.86927,3624889673.07263,3208593982.01071,2079916909.49485
THA,NY.GDP.MKTP.CD,Thailand,GDP (current US$),407339040197.651,401296238228.084,413366349747.508,456356813536.764,506754208404.485,543976691793.886,500461898480.246,506194668789.937,495644697587.661,515906283940.933
TZA,NY.GDP.MKTP.CD,Tanzania,GDP (current US$),49986726460.6805,47413919817.124,49774409374.4538,53274884532.7886,57003712892.0858,61026731925.9213,66068737786.0639,70655628147.8986,75769974505.0106,79062403836.8432
TJK,NY.GDP.MKTP.CD,Tajikistan,GDP (current US$),9112605459.32845,8271431485.07484,6992416096.89018,7536402852.85802,7764999999.45362,8300813599.3084,8133963550.65742,8937805347.13963,10713525200.3998,12244169292.7998
SYR,NY.GDP.MKTP.CD,Syrian Arab Republic,GDP (current US$),21502061465.9498,16466863117.0009,12597854877.4254,16369843352.3453,21497782867.6426,22583045060.0821,12047752036.091,14353205678.4991,23622827079.5047,19993439949.5435
CHE,NY.GDP.MKTP.CD,Switzerland,GDP (current US$),726537809429.524,694118186379.628,687895460902.713,695200834102.045,725568717468.001,721369112726.724,741999406005.627,815309330986.719,828508926958.393,894424821645.205
SWE,NY.GDP.MKTP.CD,Sweden,GDP (current US$),577730245154.162,501698263620.663,514218206628.325,536083940228.684,551312498430.164,532169294165.94,545147614972.141,637186904843.636,579895717343.956,585489968189.064
SUR,NY.GDP.MKTP.CD,Suriname,GDP (current US$),5240606060.60606,5126237646.22072,3317421648.09918,3591679430.99988,3996198866.57453,4016040575.08796,2911807496.20227,3107923197.96954,3791603200.0259,3455146280.83975
SDN,NY.GDP.MKTP.CD,Sudan,GDP (current US$),49516748617.9775,51726758676.7677,42630376000.0,41283617976.1905,32333780383.2924,32338079165.2893,27034593750.0,34229513774.9936,51666875363.0963,39898289820.7951
VCT,NY.GDP.MKTP.CD,St. Vincent and the Grenadines,GDP (current US$),770900000.0,786555555.555555,814303703.703704,844040740.740741,884329629.62963,910481481.481481,864566666.666667,888677777.777778,989188888.888889,1072237037.03704
MAF,NY.GDP.MKTP.CD,St. Martin (French part),GDP (current US$),772921756.347188,,,,,652205849.387956,,649206156.194207,,
LCA,NY.GDP.MKTP.CD,St. Lucia,GDP (current US$),1749185185.18518,1807640740.74074,1868544444.44444,1998503703.7037,2060955555.55556,2095344444.44444,1499274074.07407,1867185185.18518,2342714814.81481,2430166666.66667
KNA,NY.GDP.MKTP.CD,St. Kitts and Nevis,GDP (current US$),952111111.111111,957222222.222222,1006818518.51852,1056977777.77778,1076548148.14815,1107855555.55556,883922222.222222,858622222.222222,980188888.888889,1056751851.85185
LKA,NY.GDP.MKTP.CD,Sri Lanka,GDP (current US$),82528535713.926,85090301052.0465,88000211171.5956,94369350285.5814,94450015982.8405,88998706296.5783,84335574581.5072,88556698937.7033,74143020262.8076,83716142582.1945
ESP,NY.GDP.MKTP.CD,Spain,GDP (current US$),1380244561361.96,1206164777553.12,1243015667917.12,1321754088818.83,1431642809327.06,1403496387686.27,1289783836971.21,1461244901852.69,1446498147749.03,1620090734956.89
SSD,NY.GDP.MKTP.CD,South Sudan,GDP (current US$),13962212847.4576,11997800760.2242,,,,,,,,
ZAF,NY.GDP.MKTP.CD,South Africa,GDP (current US$),381198869776.106,346709790458.563,323585509674.481,381448814653.456,405260723892.517,389330032224.269,337974655408.055,420886877628.703,406920004594.074,380699271816.395
SOM,NY.GDP.MKTP.CD,"Somalia, Fed. Rep.",GDP (current US$),5728399719.99958,6152149099.99942,6613743069.99912,7621501710.0012,7873440830.00128,8655023960.00102,8628393720.00185,9483997390.00062,10202767269.9992,10968517089.9982
SLB,NY.GDP.MKTP.CD,Solomon Islands,GDP (current US$),1335571420.72676,1307909887.55212,1379490304.2254,1469789119.08756,1615478393.28614,1619155017.3924,1536145814.17007,1522794913.0914,1566360686.10632,1660896530.71894
SVN,NY.GDP.MKTP.CD,Slovenia,GDP (current US$),49514466379.6057,42709468274.8137,44290685824.0682,48153200134.6613,53689067639.9176,53909922735.545,53384760135.1581,61529280461.092,59927702746.2843,69148468417.3208
SVK,NY.GDP.MKTP.CD,Slovak Republic,GDP (current US$),101713075598.862,89178548717.3324,90347173228.6356,95978130734.9766,106611673364.837,105843498304.094,107732602896.441,120560912620.599,115884262197.697,133896931490.224
SXM,NY.GDP.MKTP.CD,Sint Maarten (Dutch part),GDP (current US$),1361811508.37989,1417888715.0838,1427017206.70391,1353212122.90503,1259200446.92737,1407880446.92737,1236428100.55866,1353071061.45251,1537088715.0838,1627776949.27374
SGP,NY.GDP.MKTP.CD,Singapore,GDP (current US$),314863580758.455,307998545269.398,319646468521.497,343673334902.33,377123710560.614,376161998830.048,349165858544.568,436591382250.464,509017841146.557,505439514078.019
SLE,NY.GDP.MKTP.CD,Sierra Leone,GDP (current US$),7686138790.90872,6788352974.78329,6084297211.10217,5749846528.48046,6390514688.52816,6526183564.19893,6693888876.28565,7173379137.26091,7124465159.65304,6411787856.06581
SYC,NY.GDP.MKTP.CD,Seychelles,GDP (current US$),1387577870.08161,1432403352.12944,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,2018346588.73752,2187379754.66167
SRB,NY.GDP.MKTP.CD,Serbia,GDP (current US$),49114321280.3466,41297410634.9586,42225495909.5633,45972834713.8077,52787520248.9242,53864693664.5568,55874017668.998,66159884072.5308,66797564758.339,81342660752.3732
SEN,NY.GDP.MKTP.CD,Senegal,GDP (current US$),19797253440.2679,17774766696.1759,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27783332222.6759,30696331295.7826
SAU,NY.GDP.MKTP.CD,Saudi Arabia,GDP (current US$),787153066666.667,693414400000.0,689279466666.667,741266133333.333,886564800000.0,888890133333.333,767951200000.0,982661066666.667,1239075200000.0,1218584533333.33
STP,NY.GDP.MKTP.CD,Sao Tome and Principe,GDP (current US$),293119143.246825,259999643.047388,292267272.196925,322002845.229335,383717327.830508,412976082.620705,471229484.607144,524402455.54816,540809499.189348,678976264.835436
SMR,NY.GDP.MKTP.CD,San Marino,GDP (current US$),1673911426.17254,1419401070.56043,1468343139.74326,1528620346.31168,1655353653.05934,1616232125.12587,1544714493.24409,1855395999.76534,1831700577.08904,
WSM,NY.GDP.MKTP.CD,Samoa,GDP (current US$),796683519.593842,824150498.653536,843924796.697421,884844384.463214,878448433.404342,912950466.064906,868898358.266437,843923638.733018,832945205.637185,938189443.830393
RWA,NY.GDP.MKTP.CD,Rwanda,GDP (current US$),8238966119.55292,8543760205.73641,8695272060.67925,9252833894.1905,9637904518.99702,10349300276.7623,10174386854.812,11078787095.1791,13316161005.7244,14331722700.3249
RUS,NY.GDP.MKTP.CD,Russian Federation,GDP (current US$),2059241589895.01,1363482182197.71,1276786350881.14,1574199360089.0,1657328773461.31,1693115002708.32,1493075894362.14,1829186719575.1,2291612121334.64,2071505725030.58
ROU,NY.GDP.MKTP.CD,Romania,GDP (current US$),199722319675.741,177885131240.315,185290759248.844,210147385855.419,243468683030.34,251677082534.495,252033792712.145,286578196368.297,296354358293.475,350775856415.189
QAT,NY.GDP.MKTP.CD,Qatar,GDP (current US$),206224598571.429,161739955576.923,151732181868.132,161099122225.275,183334953818.681,176371267692.308,144411363351.648,179732009560.44,235709325714.286,213002809340.659
PRI,NY.GDP.MKTP.CD,Puerto Rico (US),GDP (current US$),102445800000.0,103375500000.0,104336700000.0,103445526000.0,100958100000.0,105126400000.0,103130900000.0,106426600000.0,113843700000.0,118375000000.0
PRT,NY.GDP.MKTP.CD,Portugal,GDP (current US$),230078616299.675,199038523119.639,206305431241.638,220862990767.229,242092894542.888,240115970063.019,229618773422.577,256055879091.139,256898675068.927,289696962620.235
POL,NY.GDP.MKTP.CD,Poland,GDP (current US$),542134167178.627,480054118583.367,473259623976.262,528356723263.073,594616632477.019,602683770144.88,605914186117.953,689170171187.004,695607522884.822,812451128978.58
PHL,NY.GDP.MKTP.CD,Philippines,GDP (current US$),297483555338.044,306445871242.322,318627003016.731,328480736802.76,346841896587.313,376823402239.136,361751145451.597,394087359848.11,404353369604.631,437055627244.424
PER,NY.GDP.MKTP.CD,Peru,GDP (current US$),200786250582.943,189802976285.619,191898104390.379,211007984080.911,222597009739.235,228346006003.648,201409694755.934,226328766459.634,246065570308.155,266958720837.988
PRY,NY.GDP.MKTP.CD,Paraguay,GDP (current US$),40377929295.6419,36211447840.0971,36089700222.9461,38997129473.5558,40225448340.6322,37925338329.1494,35432178068.1814,39950899938.7482,41952910858.088,43118053174.5413
PNG,NY.GDP.MKTP.CD,Papua New Guinea,GDP (current US$),23210823987.308,21723437010.0982,20758876952.6232,22742699138.356,24109780708.0268,24750626029.8777,23848447849.6081,26109413521.3117,31653185952.609,30816367066.9594
PAN,NY.GDP.MKTP.CD,Panama,GDP (current US$),51427104900.0,55767806100.0,59760858700.0,64327688800.0,67316471200.0,69778991200.0,57059846500.0,67396392500.0,76276116700.0,83318176900.0
PLW,NY.GDP.MKTP.CD,Palau,GDP (current US$),243156500.0,278824800.0,298323500.0,285600000.0,288546300.0,281941600.0,258990800.0,235752900.0,255591100.0,281849100.0
PAK,NY.GDP.MKTP.CD,Pakistan,GDP (current US$),271390474857.632,299963590534.773,313630000130.435,339205534861.1,356128166704.921,320909472770.669,300425609817.981,348516647445.148,374890295666.694,337885531778.052
OMN,NY.GDP.MKTP.CD,Oman,GDP (current US$),92699089726.9181,78710793237.9714,75128738621.5865,80856697009.1027,91505851755.5267,88060858257.4772,75909492847.8544,87323797139.1417,109852795838.752,105895708712.614
